user_id,age_group,interests,travel_history,sustainability_preference,budget_level,preferred_activities,travel_style
46,25-34,"Adventure,Wildlife,History,Mountains,Food","63,59,23,95,52,2",7.2,3,"Wildlife Watching,Kayaking,Swimming",Solo
47,55-64,"Food,History,Wildlife,Relaxation",63,6.8,2,"Wildlife Watching,Kayaking,Historical Sites",Solo
48,25-34,"Mountains,Wildlife","24,98,17,91,8,81,56",6.8,5,"Wildlife Watching,Volunteering,Surfing",Adventure
49,45-54,"Wildlife,Beach","97,50",5.1,2,"Wildlife Watching,Surfing,Cultural Tours,Eco Tours,Hiking",Budget
50,35-44,"Food,Photography","63,19,1,45,23",4.1,1,"Kayaking,Swimming,Historical Sites,Cultural Tours",Family
51,45-54,"Relaxation,Mountains","37,32,97,49,61,45,98,53,82,54",6.0,5,"Historical Sites,Wildlife Watching,Volunteering,Cycling,Surfing",Solo
52,18-24,"Culture,Wildlife","98,54,21,11",4.9,4,"Local Cuisine,Cycling,Historical Sites,Museums",Family
53,55-64,"Adventure,Mountains,Nature,History,Photography",,5.6,5,"Hiking,Swimming",Solo
54,18-24,"Wildlife,Mountains,Adventure,Beach,Culture",40,8.8,1,"Local Cuisine,Wildlife Watching,Volunteering,Hiking,Swimming",Eco-conscious
55,25-34,"Relaxation,Photography","4,65,88,35,40,62,59,9,34,8",5.7,1,"Swimming,Kayaking,Surfing",Solo
56,45-54,"Wildlife,Adventure,Food,Culture,Mountains","18,80,67,34",3.4,5,"Kayaking,Surfing,Hiking,Museums,Swimming",Budget
57,45-54,"Photography,Wildlife","7,73,33,21,52,23,79,38,99",6.4,5,"Historical Sites,Kayaking,Museums,Hiking,Cultural Tours",Family
58,18-24,"Mountains,Beach,Culture,Nature,History","34,99",6.7,4,"Museums,Kayaking",Luxury
59,25-34,"Wildlife,Nature,Culture","56,83,17,72,53",5.1,1,"Eco Tours,Cycling,Historical Sites,Kayaking",Luxury
60,25-34,"Beach,Relaxation,History,Adventure",35,5.8,5,"Historical Sites,Volunteering",Budget
61,25-34,"Adventure,Wildlife","31,46,36",4.5,3,"Volunteering,Historical Sites,Hiking,Museums,Cycling",Luxury
62,25-34,"Food,Mountains","81,57,69,61,71,73,70,86,18",7.1,5,"Eco Tours,Surfing,Hiking,Cultural Tours,Wildlife Watching",Budget
63,35-44,"Relaxation,Culture,Mountains,Photography,History","16,100",4.3,1,"Historical Sites,Museums,Surfing",Budget
64,18-24,"History,Nature,Culture,Photography","96,37,40,75,90,27",7.4,1,"Wildlife Watching,Historical Sites",Family
65,55-64,"Beach,Food,Adventure","81,36,93,97,70,49,68,33",6.7,1,"Local Cuisine,Museums,Historical Sites,Surfing",Budget
66,45-54,"Food,Photography","94,99,92,73,7,93",4.1,5,"Surfing,Cycling,Kayaking,Volunteering",Family
67,35-44,"Wildlife,Mountains","76,82,44,18,93,4",7.4,4,"Eco Tours,Hiking,Local Cuisine,Museums,Wildlife Watching",Cultural
68,45-54,"Wildlife,Beach,Adventure,Culture,Food",,6.3,4,"Local Cuisine,Volunteering,Cycling,Swimming,Kayaking",Luxury
69,65+,"Culture,Food,Adventure,Nature,Relaxation","8,68,74,87,36,37",7.3,5,"Cycling,Swimming",Cultural
70,35-44,"Photography,Wildlife","30,33,82,68,22,85,63,42",6.4,3,"Historical Sites,Cultural Tours,Wildlife Watching,Cycling",Luxury
71,25-34,"Photography,Wildlife","65,30,22,56,8,24,23,64,68,43",7.8,5,"Volunteering,Museums,Hiking",Luxury
72,45-54,"Culture,Mountains","48,71,8,46,88,97,65",4.2,1,"Museums,Surfing",Cultural
73,55-64,"Adventure,Mountains,Wildlife",10,5.5,4,"Swimming,Volunteering,Surfing",Budget
74,25-34,"Photography,Relaxation,Mountains,Food","38,46,4",8.1,2,"Surfing,Volunteering",Eco-conscious
75,65+,"Food,Wildlife,Culture,Beach,Relaxation","46,20,5,50",4.0,2,"Historical Sites,Volunteering,Swimming,Cycling,Cultural Tours",Luxury
76,25-34,"Mountains,Wildlife,Culture,Beach,Photography","3,40,58,11",4.1,1,"Eco Tours,Swimming",Solo
77,18-24,"Wildlife,Food,Nature,Mountains",,8.4,3,"Eco Tours,Surfing,Cultural Tours",Eco-conscious
78,55-64,"Wildlife,Mountains,Photography,Relaxation","26,50,62,55,82,9,33,13,48",7.7,3,"Cycling,Eco Tours",Budget
79,45-54,"Food,History,Mountains","30,99,52,11",5.6,1,"Cultural Tours,Historical Sites",Cultural
80,25-34,"Culture,Food",90,5.0,5,"Kayaking,Eco Tours,Historical Sites,Hiking,Cycling",Budget
81,18-24,"Adventure,Photography,Nature","67,98,42,2,16",6.0,3,"Hiking,Wildlife Watching,Surfing,Swimming,Eco Tours",Adventure
82,55-64,"Food,Beach,Culture",65,3.0,2,"Hiking,Local Cuisine",Cultural
83,65+,"Adventure,Beach,Food,Relaxation","98,3,6,90,95,57",5.5,2,"Cycling,Eco Tours,Kayaking",Solo
84,55-64,"Adventure,Wildlife,Relaxation","38,1,87,48,35",3.7,1,"Hiking,Local Cuisine,Wildlife Watching,Cultural Tours",Adventure
85,45-54,"Food,History,Beach,Adventure","75,45,30,20,93,5,8",5.5,1,"Wildlife Watching,Museums,Historical Sites,Eco Tours,Local Cuisine",Luxury
86,55-64,"Culture,Relaxation,Nature,Photography,History","58,91,92,84,36,54,98,86",6.5,4,"Swimming,Surfing,Museums,Cycling,Wildlife Watching",Adventure
87,45-54,"Nature,Adventure","1,77,87",8.8,1,"Volunteering,Historical Sites,Kayaking",Eco-conscious
88,18-24,"Wildlife,Relaxation,Beach,Photography,History",17,7.7,3,"Cycling,Museums,Kayaking,Cultural Tours,Hiking",Luxury
89,18-24,"Adventure,History,Relaxation","78,24,87,64,40,61,66,83,49,85",7.5,1,"Swimming,Museums,Eco Tours,Cycling",Eco-conscious
90,35-44,"Wildlife,Beach","5,98,75,79,29,96,12,48",4.3,2,"Surfing,Museums,Cultural Tours",Luxury
91,18-24,"Relaxation,Food",,6.8,5,"Kayaking,Surfing",Family
92,45-54,"Food,Culture,Mountains,Relaxation",,8.1,4,"Local Cuisine,Hiking,Cycling,Historical Sites",Solo
93,55-64,"Food,Beach","76,95,44,96,14,89,5",5.3,3,"Cultural Tours,Swimming,Volunteering",Budget
94,65+,"Adventure,Relaxation","77,73,79,33,92,88",7.3,5,"Hiking,Surfing,Museums",Cultural
95,25-34,"Beach,Mountains,Adventure,History,Culture","74,62,63",5.6,4,"Kayaking,Historical Sites",Cultural
96,18-24,"Culture,Adventure,Nature,Photography,Food","99,98,61,17,82",4.4,2,"Local Cuisine,Swimming",Budget
97,65+,"Nature,Wildlife,Adventure","98,95",5.7,3,"Volunteering,Wildlife Watching,Eco Tours",Solo
98,65+,"Food,Adventure,Beach,Mountains,Relaxation","10,63,6,39,14,31,100,99,25,45",3.1,2,"Eco Tours,Cultural Tours",Adventure
99,25-34,"Culture,Nature,Beach,Relaxation","41,44,37",4.8,1,"Hiking,Local Cuisine,Historical Sites,Wildlife Watching",Family
100,45-54,"Food,Photography,Nature,Relaxation","9,53,84,31,95",4.6,3,"Eco Tours,Wildlife Watching,Volunteering,Kayaking",Adventure
101,25-34,"Culture,Adventure,Relaxation,Photography","3,64,22,98,26,5,88,78,61",6.3,5,"Kayaking,Local Cuisine,Volunteering,Museums",Family
102,55-64,"Mountains,Wildlife",90,5.5,4,"Local Cuisine,Wildlife Watching,Museums,Surfing,Volunteering",Budget
103,18-24,"Relaxation,Photography,Wildlife,History",,7.8,5,"Cultural Tours,Cycling",Eco-conscious
104,35-44,"Mountains,Food",,9.1,4,"Museums,Swimming,Historical Sites",Eco-conscious
105,25-34,"Nature,History","56,49,81",4.5,5,"Historical Sites,Hiking,Eco Tours",Luxury
106,25-34,"Adventure,History","18,83,54,98,77,1,88,55,33",4.2,2,"Local Cuisine,Swimming,Museums",Cultural
107,35-44,"Beach,Food","3,4,98,50,23,48,69,5,17,67",7.1,2,"Swimming,Historical Sites",Eco-conscious
108,25-34,"Adventure,Culture,Nature,History","3,55,57,36,61,37,82,76,23",4.1,2,"Kayaking,Local Cuisine",Adventure
109,65+,"Culture,Wildlife,History,Adventure",60,8.7,1,"Local Cuisine,Swimming,Kayaking",Cultural
110,65+,"Adventure,Beach,Wildlife,Culture,Food","31,1,45,28,65,90,3,13,81",6.9,3,"Historical Sites,Cultural Tours,Local Cuisine,Kayaking,Cycling",Luxury
111,65+,"Nature,Photography,History,Wildlife","73,36,90,5,65",6.6,3,"Wildlife Watching,Cycling,Kayaking,Historical Sites",Cultural
112,35-44,"Beach,Photography,Wildlife,History","85,40,56,95,31,49",5.1,5,"Local Cuisine,Volunteering,Hiking,Surfing",Solo
113,18-24,"History,Wildlife,Adventure,Relaxation,Food",31,3.7,2,"Volunteering,Eco Tours",Cultural
114,65+,"Photography,Adventure,Nature",,8.1,3,"Cycling,Cultural Tours,Kayaking",Solo
115,55-64,"Relaxation,Beach,Adventure","73,25",6.1,2,"Cycling,Historical Sites",Cultural
116,18-24,"Photography,Culture","7,43,92,77,11,36,33",4.5,3,"Swimming,Volunteering,Cultural Tours,Museums,Historical Sites",Family
117,25-34,"Relaxation,Photography,Wildlife,Food,Nature","51,45",4.0,1,"Volunteering,Kayaking,Historical Sites,Hiking",Luxury
118,35-44,"Mountains,History,Wildlife,Photography,Beach","95,13,24,90,6,39,26,67,46",3.8,3,"Swimming,Surfing,Eco Tours,Cycling",Cultural
119,25-34,"Food,Photography,Relaxation,Adventure,Culture","37,59,94,28,2",7.6,4,"Historical Sites,Hiking,Cultural Tours,Volunteering,Museums",Cultural
120,25-34,"Beach,History,Adventure",43,4.5,5,"Wildlife Watching,Surfing,Local Cuisine,Hiking",Family
121,35-44,"Adventure,Photography,Culture","51,80",4.6,2,"Cycling,Cultural Tours,Swimming,Historical Sites",Luxury
122,65+,"Adventure,Wildlife,Mountains,History","36,76,50,42,7,95,39,41",4.4,3,"Eco Tours,Swimming,Hiking,Museums,Cultural Tours",Cultural
123,45-54,"History,Culture,Photography,Mountains","87,49,59",3.6,4,"Cycling,Volunteering,Hiking",Adventure
124,18-24,"Photography,Relaxation,Wildlife,Beach","43,77,96,32",5.4,5,"Hiking,Wildlife Watching",Luxury
125,18-24,"Food,Beach,Wildlife,History,Adventure","38,1,18,80",7.6,3,"Hiking,Local Cuisine,Surfing,Swimming,Kayaking",Budget
126,65+,"History,Adventure,Nature,Culture","69,20,53,51,72",3.8,3,"Cycling,Cultural Tours",Solo
127,55-64,"Adventure,Food",77,7.7,3,"Hiking,Swimming,Museums,Cultural Tours",Eco-conscious
128,45-54,"Relaxation,Adventure,Culture,Wildlife,Nature",,6.4,1,"Wildlife Watching,Historical Sites,Cultural Tours,Local Cuisine,Volunteering",Luxury
129,55-64,"History,Relaxation,Photography,Wildlife,Food",4,4.6,5,"Museums,Eco Tours,Hiking",Budget
130,45-54,"Beach,Relaxation,Mountains","49,63",8.0,2,"Surfing,Volunteering,Swimming,Cultural Tours,Hiking",Budget
131,35-44,"Nature,Beach,Adventure,History,Food","21,22,77,41,26,37,16,23,54",7.5,1,"Local Cuisine,Museums",Family
132,35-44,"Relaxation,Culture","88,7,40",4.5,4,"Surfing,Kayaking,Hiking",Solo
133,35-44,"Photography,Wildlife",62,4.9,2,"Volunteering,Local Cuisine,Kayaking,Wildlife Watching,Cultural Tours",Adventure
134,45-54,"Photography,Wildlife","46,54,6,93,45",5.5,2,"Eco Tours,Historical Sites",Budget
135,55-64,"Mountains,Wildlife,Relaxation,Photography,Food",76,5.4,4,"Volunteering,Historical Sites,Kayaking,Surfing,Cultural Tours",Luxury
136,55-64,"Food,Beach,Wildlife,History","38,81,57,46",8.3,2,"Swimming,Cycling",Solo
137,25-34,"Mountains,Food,Culture,History,Nature","32,63",6.1,2,"Historical Sites,Swimming,Volunteering",Solo
138,55-64,"Culture,History","86,16",5.0,5,"Volunteering,Local Cuisine,Surfing",Solo
139,45-54,"Beach,Relaxation","52,13,64,29,79",6.8,1,"Eco Tours,Swimming",Luxury
140,45-54,"Adventure,Nature,Photography,Culture,History","84,35,20",7.9,1,"Cultural Tours,Museums,Local Cuisine,Eco Tours",Family
141,18-24,"Wildlife,Nature","49,45,88,71,19",3.7,2,"Historical Sites,Cycling",Cultural
142,18-24,"Photography,Beach,Culture,Nature,History","25,7,46",7.5,1,"Museums,Surfing",Budget
143,65+,"Relaxation,Nature,Culture,Photography,Food","84,21",8.6,2,"Local Cuisine,Wildlife Watching,Kayaking",Solo
144,55-64,"Relaxation,Nature,Beach","4,76",3.5,4,"Kayaking,Swimming",Budget
145,25-34,"Mountains,Relaxation","53,16,76,24,34,84,8,67,14,42",6.5,2,"Swimming,Historical Sites,Cultural Tours",Solo
146,65+,"Adventure,Mountains,Wildlife,Nature,Photography","51,59,9,100,35,84",8.0,3,"Eco Tours,Kayaking,Cultural Tours,Hiking,Surfing",Adventure
147,25-34,"Relaxation,Nature,History,Photography,Wildlife","27,39,17,96,100",4.5,3,"Museums,Kayaking,Eco Tours,Surfing,Historical Sites",Family
148,45-54,"Wildlife,Relaxation,Photography,History","39,6",6.1,3,"Museums,Hiking,Local Cuisine,Surfing",Solo
149,18-24,"Beach,Nature,History,Photography","27,7,70,49,21",4.3,5,"Hiking,Cultural Tours,Local Cuisine",Luxury
150,18-24,"History,Relaxation,Culture,Nature,Wildlife","35,50,20,74,18,33,40,21,27",4.2,4,"Cycling,Kayaking,Surfing",Adventure
151,25-34,"Mountains,History,Photography","25,14,34,42,97,30,13,11,47,72",5.6,3,"Museums,Wildlife Watching,Cycling",Solo
152,55-64,"Beach,Relaxation,Photography","77,41,6,46,83,80,81,52,73",5.1,4,"Historical Sites,Volunteering,Kayaking",Budget
153,18-24,"Photography,Mountains,History","78,28,32,51,97,6",5.2,2,"Kayaking,Eco Tours,Hiking",Cultural
154,25-34,"History,Photography",20,6.0,3,"Museums,Eco Tours,Cycling,Local Cuisine",Cultural
155,35-44,"Culture,Adventure",,5.7,5,"Surfing,Local Cuisine,Cycling,Museums",Luxury
156,55-64,"Wildlife,Beach,Photography,Nature","85,72,21,87,10,100,28,65,60,17",6.5,1,"Volunteering,Hiking,Cycling,Kayaking,Eco Tours",Budget
157,25-34,"Food,Culture,Wildlife","49,20,71",6.3,1,"Eco Tours,Swimming,Historical Sites,Local Cuisine,Museums",Family
158,18-24,"Nature,Wildlife,Adventure,Culture","24,28,33",4.0,5,"Cycling,Cultural Tours,Volunteering,Local Cuisine,Swimming",Solo
159,45-54,"Culture,Adventure,Relaxation","92,21,5",3.9,3,"Eco Tours,Local Cuisine,Hiking,Surfing",Cultural
160,65+,"History,Food","66,86,27",6.6,4,"Hiking,Cycling,Volunteering,Swimming",Luxury
161,45-54,"Relaxation,History,Nature","74,92",9.0,2,"Cycling,Volunteering,Eco Tours,Kayaking,Hiking",Cultural
162,45-54,"Wildlife,History,Beach","86,8,54,64,39,46,25,84,12",5.5,1,"Hiking,Surfing",Family
163,18-24,"Nature,Photography,Adventure","91,89,30,79,8,4,77,72",5.2,1,"Historical Sites,Surfing,Volunteering,Eco Tours,Museums",Solo
164,35-44,"Culture,Adventure,Beach","72,74,19,38,63,88,34,78",5.3,2,"Volunteering,Swimming",Solo
165,35-44,"Food,Adventure","11,99,30,6",3.2,5,"Kayaking,Surfing,Local Cuisine,Wildlife Watching",Cultural
166,25-34,"Photography,Beach,Wildlife","47,86,82,63,81,57,78,38,94,35",5.2,2,"Local Cuisine,Eco Tours,Cycling,Cultural Tours",Solo
167,18-24,"History,Wildlife,Nature","24,80,56,17,3,63",8.5,1,"Eco Tours,Surfing",Adventure
168,45-54,"Beach,History,Food,Photography,Mountains","41,40,44,48",7.6,4,"Local Cuisine,Historical Sites,Hiking,Cultural Tours",Eco-conscious
169,55-64,"Beach,Adventure","78,32,6,65,4",5.9,5,"Eco Tours,Volunteering,Surfing,Cycling,Kayaking",Adventure
170,25-34,"Food,Culture,Relaxation,History","43,37,35,33",4.9,4,"Volunteering,Eco Tours",Solo
171,65+,"Nature,Mountains","23,9,24,68,19,71,34",8.4,3,"Swimming,Historical Sites,Volunteering,Museums,Hiking",Eco-conscious
172,18-24,"Culture,Nature,Relaxation","51,44,14,1,25,23,32,7,55",4.3,2,"Museums,Cultural Tours,Volunteering,Cycling,Kayaking",Luxury
173,35-44,"Nature,Food,Culture,Adventure,Beach","89,52,11",6.5,4,"Hiking,Cycling,Historical Sites",Luxury
174,55-64,"Nature,Wildlife,Photography,Beach","26,90,5,38,94,86,22,37,20,100",7.6,2,"Cycling,Museums,Wildlife Watching,Kayaking,Local Cuisine",Cultural
175,35-44,"Culture,Mountains","63,34,48,31,74,49,82",4.3,3,"Kayaking,Local Cuisine",Family
176,45-54,"Nature,Beach,Photography,Mountains,Food","54,58,91,90,44,4",3.8,3,"Local Cuisine,Cultural Tours,Surfing,Museums",Solo
177,18-24,"Relaxation,Mountains,Nature,History,Beach","87,12,6",5.6,4,"Surfing,Local Cuisine,Historical Sites,Swimming",Cultural
178,45-54,"Beach,Mountains,Adventure,Food,Photography","90,78,14,37,24,83,22,39,94,98",7.8,2,"Swimming,Wildlife Watching",Budget
179,18-24,"Nature,Beach,Wildlife,Relaxation,Culture","64,33,78,63,48,47,38,20,6,96",9.7,4,"Kayaking,Swimming",Eco-conscious
180,55-64,"Culture,Food,Wildlife,History","62,72,30,80,60,43,25",5.2,3,"Surfing,Cultural Tours,Historical Sites,Swimming",Adventure
181,65+,"Culture,Adventure,Wildlife",,6.0,1,"Local Cuisine,Museums,Swimming,Kayaking,Eco Tours",Cultural
182,25-34,"Mountains,Beach,Nature","60,15,65,80,63,11,7,14,61,77",4.5,2,"Swimming,Surfing,Local Cuisine,Cultural Tours,Museums",Luxury
183,18-24,"Adventure,History","55,17",5.5,3,"Hiking,Cycling,Surfing,Eco Tours,Kayaking",Cultural
184,25-34,"Food,History,Culture,Adventure","27,96,46,22,75,80,23,34,45,18",8.6,3,"Historical Sites,Kayaking,Eco Tours,Cycling",Eco-conscious
185,35-44,"Relaxation,Wildlife","5,71,4,85,38,67",5.0,3,"Eco Tours,Hiking,Kayaking",Budget
186,35-44,"History,Beach,Food,Wildlife","6,43,88,92",7.9,2,"Kayaking,Surfing,Swimming,Wildlife Watching,Museums",Eco-conscious
187,55-64,"Photography,Relaxation,Adventure,Wildlife,History","100,66,74,80,7",8.2,3,"Eco Tours,Volunteering,Cultural Tours,Swimming,Historical Sites",Eco-conscious
188,65+,"Photography,Mountains,Food,Culture","92,25,43,49,97,45,2,57,88,75",8.1,1,"Kayaking,Museums,Wildlife Watching",Eco-conscious
189,25-34,"Relaxation,Mountains,Photography","81,59,34,60",5.1,3,"Museums,Eco Tours,Wildlife Watching,Cycling,Volunteering",Family
190,65+,"Culture,Relaxation","36,29,59,38,5,16,26,39,18",7.0,5,"Hiking,Volunteering,Museums,Cycling,Historical Sites",Adventure
191,25-34,"Photography,Culture,Wildlife,Food",,7.3,3,"Surfing,Cycling,Kayaking,Local Cuisine,Hiking",Solo
192,65+,"Food,History,Relaxation,Beach",,5.3,3,"Swimming,Eco Tours,Historical Sites,Cultural Tours,Hiking",Solo
193,35-44,"Relaxation,Mountains,Beach","90,50,79,68,57",7.7,2,"Swimming,Wildlife Watching,Historical Sites",Luxury
194,45-54,"Mountains,Photography","29,39,35,66,46",9.0,2,"Cultural Tours,Swimming,Wildlife Watching",Cultural
195,35-44,"History,Adventure,Culture,Beach","82,35,8,23",6.4,3,"Surfing,Swimming,Cycling,Hiking",Solo
196,25-34,"Wildlife,Relaxation","51,27,20,18",6.1,4,"Wildlife Watching,Museums",Luxury
197,25-34,"Mountains,History,Culture,Nature,Photography","76,20,82",3.3,1,"Kayaking,Cultural Tours,Eco Tours,Surfing,Local Cuisine",Budget
198,25-34,"Nature,Adventure,Food,Culture","90,1,15,28",4.0,4,"Eco Tours,Cultural Tours,Kayaking",Budget
199,65+,"Beach,Adventure,Nature,Food","19,37,22,80,1,11,69,26,15",3.7,4,"Cultural Tours,Volunteering,Eco Tours,Wildlife Watching,Swimming",Adventure
200,65+,"Relaxation,Adventure,Nature","68,46,94,63",3.3,4,"Volunteering,Cycling,Museums,Local Cuisine",Cultural
201,65+,"Relaxation,Photography","86,18",4.2,3,"Historical Sites,Eco Tours,Surfing,Volunteering",Adventure
202,55-64,"Nature,Culture","10,96,25,77,17,76,39,31,80,23",8.9,5,"Local Cuisine,Historical Sites,Eco Tours",Solo
203,18-24,"Relaxation,Adventure,Photography,Mountains","40,56",8.0,5,"Cultural Tours,Volunteering,Museums",Budget
204,35-44,"Mountains,Culture,Food,History",21,4.6,3,"Kayaking,Surfing",Solo
205,18-24,"Mountains,Relaxation",,3.1,3,"Hiking,Kayaking,Local Cuisine,Historical Sites",Solo
206,55-64,"History,Mountains,Wildlife","51,63,52,4,25",9.2,3,"Cultural Tours,Historical Sites,Surfing,Cycling,Eco Tours",Eco-conscious
207,45-54,"Relaxation,Food,Beach,Nature,History","28,76,90,43,2,68,79,31",7.1,2,"Eco Tours,Cycling,Swimming,Wildlife Watching,Local Cuisine",Eco-conscious
208,35-44,"Beach,Culture,Nature,History,Mountains","23,20,87,82,53,100",6.6,1,"Eco Tours,Historical Sites,Wildlife Watching,Swimming,Hiking",Cultural
209,18-24,"Culture,Mountains,Relaxation,Adventure,Beach",58,7.1,1,"Eco Tours,Museums,Kayaking,Hiking,Cultural Tours",Budget
210,55-64,"Adventure,Culture,Nature,Mountains","20,31",5.6,1,"Kayaking,Wildlife Watching,Swimming,Volunteering",Budget
