destination_id,carbon_footprint_score,water_consumption_score,waste_management_score,biodiversity_impact_score,local_economy_support_score,conservation_initiatives,eco_certifications,sustainable_transportation_options,overall_sustainability_score
76,3.3,4.0,3.9,4.9,3.3,4 active conservation projects,Blue Flag,"Electric Vehicles,Public Transit,Walking Paths,Bike Sharing",3.87
77,5.4,2.5,2.9,6.2,3.5,1 active conservation projects,EarthCheck,"Bike Sharing,Walking Paths,Public Transit",4.18
78,9.4,6.8,6.5,6.9,9.0,1 active conservation projects,"EarthCheck,Green Globe","Walking Paths,Bike Sharing",7.74
79,6.0,5.1,5.2,6.3,3.7,3 active conservation projects,Blue Flag,"Public Transit,Electric Vehicles",5.38
80,5.4,2.9,5.1,5.8,6.9,4 active conservation projects,Green Globe,"Electric Vehicles,Walking Paths",5.14
81,3.3,2.2,5.6,3.6,1.9,2 active conservation projects,Blue Flag,"Bike Sharing,Public Transit",3.39
82,3.3,3.8,3.6,3.4,3.6,3 active conservation projects,Green Globe,Bike Sharing,3.52
83,7.1,9.8,10.0,7.2,8.9,2 active conservation projects,"LEED,Blue Flag","Bike Sharing,Electric Vehicles,Public Transit,Walking Paths",8.51
84,2.4,4.3,2.0,4.9,4.6,1 active conservation projects,EarthCheck,Public Transit,3.52
85,5.8,6.4,5.9,4.9,4.3,4 active conservation projects,Green Key,"Walking Paths,Electric Vehicles,Bike Sharing",5.55
86,7.3,5.5,6.3,6.1,4.5,3 active conservation projects,"EarthCheck,Green Key",Electric Vehicles,6.06
87,4.1,3.7,6.0,6.3,6.7,4 active conservation projects,EarthCheck,"Walking Paths,Bike Sharing,Electric Vehicles,Public Transit",5.22
88,9.0,8.2,7.8,7.1,6.6,3 active conservation projects,"Green Key,Green Globe","Electric Vehicles,Bike Sharing,Walking Paths",7.88
89,5.4,4.0,3.9,3.9,5.4,3 active conservation projects,Blue Flag,,4.49
90,7.4,9.9,8.3,7.6,10.0,1 active conservation projects,"LEED,EarthCheck","Walking Paths,Public Transit,Electric Vehicles",8.52
91,9.4,9.9,8.0,8.0,9.4,5 active conservation projects,"EarthCheck,LEED","Electric Vehicles,Public Transit,Walking Paths",8.94
92,8.1,10.0,10.0,10.0,8.3,1 active conservation projects,"Blue Flag,LEED,EarthCheck","Walking Paths,Bike Sharing",9.27
93,7.2,4.6,6.2,6.4,6.7,2 active conservation projects,"Green Key,Green Globe","Walking Paths,Public Transit",6.25
94,7.6,7.5,7.9,9.2,9.2,4 active conservation projects,"Green Key,LEED","Bike Sharing,Electric Vehicles,Public Transit,Walking Paths",8.22
95,8.8,6.7,8.7,9.6,8.4,0 active conservation projects,"LEED,Blue Flag","Electric Vehicles,Walking Paths",8.48
96,3.2,1.6,3.4,2.9,3.7,4 active conservation projects,None,"Public Transit,Bike Sharing,Electric Vehicles",2.94
97,7.1,6.2,6.1,7.4,5.9,2 active conservation projects,"Green Globe,LEED",,6.63
98,6.3,6.6,5.1,7.2,7.5,1 active conservation projects,"Green Key,EarthCheck",,6.47
99,6.2,5.3,7.1,7.7,8.5,5 active conservation projects,"Green Key,Green Globe","Electric Vehicles,Public Transit,Walking Paths,Bike Sharing",6.85
100,10.0,7.4,10.0,10.0,10.0,3 active conservation projects,"Green Key,LEED,EarthCheck","Walking Paths,Bike Sharing",9.49
