activity_id,name,description,destination_id,category,environmental_impact_score,local_community_benefit_score,resource_consumption_score,seasonal_availability
92,Educational Activity 92,This is a educational activity in destination 24,24,Educational,5.9,6.0,4.5,Spring/Fall
93,Adventure Activity 93,This is a adventure activity in destination 25,25,Adventure,7.6,3.2,5.7,Seasonal
94,Relaxation Activity 94,This is a relaxation activity in destination 25,25,Relaxation,6.3,8.4,2.9,Seasonal
95,Nature Activity 95,This is a nature activity in destination 25,25,Nature,1.7,10.0,5.0,Year-round
96,Nature Activity 96,This is a nature activity in destination 25,25,Nature,1.2,9.0,6.1,Winter only
97,Culinary Activity 97,This is a culinary activity in destination 26,26,Culinary,3.2,5.7,8.6,Year-round
98,Relaxation Activity 98,This is a relaxation activity in destination 26,26,Relaxation,4.5,7.9,5.3,Spring/Fall
99,Cultural Activity 99,This is a cultural activity in destination 26,26,Cultural,4.0,6.8,3.0,Spring/Fall
100,Volunteer Activity 100,This is a volunteer activity in destination 27,27,Volunteer,4.0,7.0,4.0,Summer only
101,Cultural Activity 101,This is a cultural activity in destination 27,27,Cultural,4.6,7.5,8.7,Winter only
102,Relaxation Activity 102,This is a relaxation activity in destination 27,27,Relaxation,4.4,8.3,2.9,Seasonal
103,Relaxation Activity 103,This is a relaxation activity in destination 27,27,Relaxation,6.7,5.9,2.5,Year-round
104,Culinary Activity 104,This is a culinary activity in destination 27,27,Culinary,3.7,6.9,10.0,Summer only
105,Volunteer Activity 105,This is a volunteer activity in destination 28,28,Volunteer,3.2,9.0,4.7,Year-round
106,Cultural Activity 106,This is a cultural activity in destination 28,28,Cultural,3.9,4.4,3.6,Winter only
107,Adventure Activity 107,This is a adventure activity in destination 28,28,Adventure,6.4,6.2,7.5,Winter only
108,Cultural Activity 108,This is a cultural activity in destination 28,28,Cultural,3.2,8.9,7.6,Winter only
109,Educational Activity 109,This is a educational activity in destination 29,29,Educational,4.0,6.4,2.4,Year-round
110,Culinary Activity 110,This is a culinary activity in destination 29,29,Culinary,4.9,6.8,1.2,Summer only
111,Nature Activity 111,This is a nature activity in destination 29,29,Nature,3.9,6.1,4.1,Spring/Fall
112,Adventure Activity 112,This is a adventure activity in destination 29,29,Adventure,5.0,7.1,6.2,Year-round
113,Nature Activity 113,This is a nature activity in destination 30,30,Nature,4.9,6.5,5.4,Spring/Fall
114,Volunteer Activity 114,This is a volunteer activity in destination 30,30,Volunteer,2.1,8.3,4.7,Summer only
115,Relaxation Activity 115,This is a relaxation activity in destination 30,30,Relaxation,3.3,5.7,9.6,Winter only
116,Cultural Activity 116,This is a cultural activity in destination 30,30,Cultural,4.5,6.4,2.7,Year-round
117,Volunteer Activity 117,This is a volunteer activity in destination 30,30,Volunteer,1.7,8.7,3.3,Summer only
118,Educational Activity 118,This is a educational activity in destination 30,30,Educational,3.9,4.5,9.8,Year-round
119,Volunteer Activity 119,This is a volunteer activity in destination 31,31,Volunteer,4.1,9.1,5.8,Summer only
120,Volunteer Activity 120,This is a volunteer activity in destination 31,31,Volunteer,2.0,8.3,8.0,Year-round
121,Nature Activity 121,This is a nature activity in destination 31,31,Nature,3.4,9.6,5.2,Winter only
122,Relaxation Activity 122,This is a relaxation activity in destination 32,32,Relaxation,6.5,4.4,7.8,Year-round
123,Cultural Activity 123,This is a cultural activity in destination 32,32,Cultural,5.8,5.1,3.5,Spring/Fall
124,Relaxation Activity 124,This is a relaxation activity in destination 33,33,Relaxation,6.8,6.7,4.4,Summer only
125,Cultural Activity 125,This is a cultural activity in destination 33,33,Cultural,3.7,7.0,5.4,Summer only
126,Cultural Activity 126,This is a cultural activity in destination 33,33,Cultural,5.6,6.4,3.1,Summer only
127,Culinary Activity 127,This is a culinary activity in destination 33,33,Culinary,6.0,8.5,9.8,Year-round
128,Culinary Activity 128,This is a culinary activity in destination 34,34,Culinary,5.2,5.0,2.0,Year-round
129,Educational Activity 129,This is a educational activity in destination 34,34,Educational,3.2,6.7,9.3,Seasonal
130,Adventure Activity 130,This is a adventure activity in destination 34,34,Adventure,6.1,4.9,3.3,Spring/Fall
131,Relaxation Activity 131,This is a relaxation activity in destination 34,34,Relaxation,6.6,7.0,6.3,Year-round
132,Relaxation Activity 132,This is a relaxation activity in destination 35,35,Relaxation,5.0,6.7,5.7,Year-round
133,Culinary Activity 133,This is a culinary activity in destination 35,35,Culinary,4.2,5.8,5.9,Spring/Fall
134,Cultural Activity 134,This is a cultural activity in destination 35,35,Cultural,6.4,7.8,9.0,Winter only
135,Adventure Activity 135,This is a adventure activity in destination 35,35,Adventure,4.8,5.9,1.1,Year-round
136,Adventure Activity 136,This is a adventure activity in destination 35,35,Adventure,4.7,7.4,6.4,Seasonal
137,Culinary Activity 137,This is a culinary activity in destination 36,36,Culinary,6.1,8.3,5.1,Winter only
138,Cultural Activity 138,This is a cultural activity in destination 36,36,Cultural,5.5,8.7,4.1,Year-round
139,Volunteer Activity 139,This is a volunteer activity in destination 36,36,Volunteer,2.9,7.2,6.6,Summer only
140,Adventure Activity 140,This is a adventure activity in destination 36,36,Adventure,6.5,3.1,9.6,Spring/Fall
141,Adventure Activity 141,This is a adventure activity in destination 37,37,Adventure,6.6,7.6,9.4,Winter only
142,Educational Activity 142,This is a educational activity in destination 37,37,Educational,4.5,4.5,1.5,Spring/Fall
143,Nature Activity 143,This is a nature activity in destination 38,38,Nature,3.4,9.2,9.2,Summer only
144,Volunteer Activity 144,This is a volunteer activity in destination 38,38,Volunteer,2.8,9.7,3.1,Year-round
145,Educational Activity 145,This is a educational activity in destination 38,38,Educational,6.9,8.8,2.3,Spring/Fall
146,Adventure Activity 146,This is a adventure activity in destination 38,38,Adventure,4.5,5.3,7.9,Spring/Fall
147,Culinary Activity 147,This is a culinary activity in destination 38,38,Culinary,5.9,4.6,7.1,Winter only
148,Educational Activity 148,This is a educational activity in destination 38,38,Educational,5.3,5.3,7.2,Seasonal
149,Nature Activity 149,This is a nature activity in destination 39,39,Nature,1.4,7.5,4.5,Winter only
150,Adventure Activity 150,This is a adventure activity in destination 39,39,Adventure,4.5,4.9,1.9,Winter only
151,Adventure Activity 151,This is a adventure activity in destination 40,40,Adventure,6.4,3.8,6.0,Spring/Fall
152,Nature Activity 152,This is a nature activity in destination 40,40,Nature,2.4,7.5,1.8,Seasonal
153,Cultural Activity 153,This is a cultural activity in destination 41,41,Cultural,6.0,6.3,8.2,Year-round
154,Adventure Activity 154,This is a adventure activity in destination 41,41,Adventure,8.0,4.0,4.2,Spring/Fall
155,Nature Activity 155,This is a nature activity in destination 41,41,Nature,2.2,6.9,2.1,Year-round
156,Adventure Activity 156,This is a adventure activity in destination 41,41,Adventure,6.0,3.0,4.5,Year-round
157,Volunteer Activity 157,This is a volunteer activity in destination 42,42,Volunteer,4.2,6.7,9.3,Seasonal
158,Relaxation Activity 158,This is a relaxation activity in destination 42,42,Relaxation,6.2,7.1,6.7,Spring/Fall
159,Adventure Activity 159,This is a adventure activity in destination 42,42,Adventure,4.7,3.5,1.0,Winter only
160,Culinary Activity 160,This is a culinary activity in destination 42,42,Culinary,5.7,6.0,1.4,Spring/Fall
161,Relaxation Activity 161,This is a relaxation activity in destination 42,42,Relaxation,4.8,6.7,3.0,Year-round
162,Relaxation Activity 162,This is a relaxation activity in destination 43,43,Relaxation,5.7,8.4,3.0,Year-round
163,Adventure Activity 163,This is a adventure activity in destination 43,43,Adventure,4.3,5.9,5.4,Winter only
164,Culinary Activity 164,This is a culinary activity in destination 43,43,Culinary,6.1,7.3,2.8,Summer only
165,Adventure Activity 165,This is a adventure activity in destination 43,43,Adventure,5.0,6.4,10.0,Winter only
166,Educational Activity 166,This is a educational activity in destination 44,44,Educational,5.8,7.7,2.7,Spring/Fall
167,Volunteer Activity 167,This is a volunteer activity in destination 44,44,Volunteer,1.0,6.2,9.7,Seasonal
168,Volunteer Activity 168,This is a volunteer activity in destination 44,44,Volunteer,3.9,6.7,7.3,Year-round
169,Educational Activity 169,This is a educational activity in destination 44,44,Educational,6.7,6.7,9.8,Winter only
170,Adventure Activity 170,This is a adventure activity in destination 44,44,Adventure,5.3,6.0,1.0,Year-round
171,Educational Activity 171,This is a educational activity in destination 45,45,Educational,4.7,7.1,3.0,Summer only
172,Relaxation Activity 172,This is a relaxation activity in destination 45,45,Relaxation,5.5,6.7,7.7,Spring/Fall
173,Volunteer Activity 173,This is a volunteer activity in destination 46,46,Volunteer,4.4,7.0,8.1,Year-round
174,Cultural Activity 174,This is a cultural activity in destination 46,46,Cultural,5.5,4.1,9.8,Seasonal
175,Volunteer Activity 175,This is a volunteer activity in destination 46,46,Volunteer,4.4,9.9,4.5,Seasonal
176,Educational Activity 176,This is a educational activity in destination 46,46,Educational,5.3,4.6,7.4,Spring/Fall
177,Relaxation Activity 177,This is a relaxation activity in destination 47,47,Relaxation,5.1,7.5,7.4,Summer only
178,Relaxation Activity 178,This is a relaxation activity in destination 47,47,Relaxation,3.5,8.6,1.5,Year-round
179,Culinary Activity 179,This is a culinary activity in destination 47,47,Culinary,3.0,7.0,9.6,Spring/Fall
180,Volunteer Activity 180,This is a volunteer activity in destination 47,47,Volunteer,2.5,7.0,7.6,Year-round
181,Cultural Activity 181,This is a cultural activity in destination 48,48,Cultural,3.6,7.0,2.1,Summer only
182,Volunteer Activity 182,This is a volunteer activity in destination 48,48,Volunteer,1.8,8.7,6.6,Year-round
183,Adventure Activity 183,This is a adventure activity in destination 48,48,Adventure,5.7,6.0,9.3,Summer only
184,Adventure Activity 184,This is a adventure activity in destination 48,48,Adventure,5.5,3.6,4.5,Year-round
185,Relaxation Activity 185,This is a relaxation activity in destination 48,48,Relaxation,3.2,5.4,8.0,Summer only
186,Nature Activity 186,This is a nature activity in destination 49,49,Nature,2.3,7.7,3.8,Year-round
187,Relaxation Activity 187,This is a relaxation activity in destination 49,49,Relaxation,4.4,8.8,3.9,Year-round
188,Volunteer Activity 188,This is a volunteer activity in destination 49,49,Volunteer,1.7,8.9,9.9,Spring/Fall
189,Volunteer Activity 189,This is a volunteer activity in destination 50,50,Volunteer,3.1,7.4,7.6,Summer only
190,Educational Activity 190,This is a educational activity in destination 50,50,Educational,5.1,8.5,1.8,Winter only
191,Nature Activity 191,This is a nature activity in destination 50,50,Nature,1.4,9.5,6.5,Winter only
192,Volunteer Activity 192,This is a volunteer activity in destination 50,50,Volunteer,4.2,6.7,2.7,Summer only
193,Educational Activity 193,This is a educational activity in destination 50,50,Educational,6.1,4.6,7.5,Spring/Fall
194,Adventure Activity 194,This is a adventure activity in destination 50,50,Adventure,4.4,5.5,8.3,Winter only
195,Educational Activity 195,This is a educational activity in destination 51,51,Educational,5.1,7.8,9.8,Seasonal
196,Adventure Activity 196,This is a adventure activity in destination 51,51,Adventure,5.4,6.1,4.5,Seasonal
197,Educational Activity 197,This is a educational activity in destination 51,51,Educational,5.2,5.3,9.9,Seasonal
198,Relaxation Activity 198,This is a relaxation activity in destination 51,51,Relaxation,6.0,5.6,2.8,Seasonal
199,Volunteer Activity 199,This is a volunteer activity in destination 51,51,Volunteer,2.5,9.2,5.5,Year-round
200,Volunteer Activity 200,This is a volunteer activity in destination 51,51,Volunteer,3.3,6.3,5.5,Year-round
201,Nature Activity 201,This is a nature activity in destination 52,52,Nature,1.1,8.9,8.6,Seasonal
202,Cultural Activity 202,This is a cultural activity in destination 52,52,Cultural,5.2,5.2,1.5,Spring/Fall
203,Cultural Activity 203,This is a cultural activity in destination 52,52,Cultural,5.1,4.4,5.5,Summer only
204,Cultural Activity 204,This is a cultural activity in destination 52,52,Cultural,6.5,5.1,4.0,Winter only
205,Relaxation Activity 205,This is a relaxation activity in destination 52,52,Relaxation,3.6,4.7,8.6,Summer only
206,Cultural Activity 206,This is a cultural activity in destination 53,53,Cultural,3.4,7.2,8.4,Spring/Fall
207,Adventure Activity 207,This is a adventure activity in destination 53,53,Adventure,6.2,3.9,6.2,Summer only
208,Educational Activity 208,This is a educational activity in destination 53,53,Educational,3.7,6.8,8.2,Spring/Fall
209,Nature Activity 209,This is a nature activity in destination 53,53,Nature,2.3,8.5,3.0,Year-round
210,Adventure Activity 210,This is a adventure activity in destination 53,53,Adventure,7.0,4.4,1.8,Spring/Fall
211,Educational Activity 211,This is a educational activity in destination 53,53,Educational,4.6,6.6,9.5,Summer only
212,Culinary Activity 212,This is a culinary activity in destination 54,54,Culinary,6.2,4.4,3.6,Winter only
213,Culinary Activity 213,This is a culinary activity in destination 54,54,Culinary,3.8,7.0,9.1,Seasonal
214,Cultural Activity 214,This is a cultural activity in destination 54,54,Cultural,3.6,4.2,1.3,Winter only
215,Culinary Activity 215,This is a culinary activity in destination 55,55,Culinary,3.1,8.2,5.0,Year-round
216,Relaxation Activity 216,This is a relaxation activity in destination 55,55,Relaxation,5.9,6.8,1.4,Year-round
217,Volunteer Activity 217,This is a volunteer activity in destination 55,55,Volunteer,1.4,9.1,6.2,Seasonal
218,Culinary Activity 218,This is a culinary activity in destination 55,55,Culinary,4.7,6.2,10.0,Seasonal
219,Adventure Activity 219,This is a adventure activity in destination 56,56,Adventure,4.8,5.4,7.8,Winter only
220,Educational Activity 220,This is a educational activity in destination 56,56,Educational,6.2,6.3,6.7,Spring/Fall
221,Volunteer Activity 221,This is a volunteer activity in destination 56,56,Volunteer,2.9,7.3,1.9,Seasonal
222,Educational Activity 222,This is a educational activity in destination 56,56,Educational,6.4,7.8,7.9,Year-round
223,Relaxation Activity 223,This is a relaxation activity in destination 57,57,Relaxation,3.1,6.8,5.1,Summer only
224,Adventure Activity 224,This is a adventure activity in destination 57,57,Adventure,6.7,4.0,1.4,Summer only
225,Adventure Activity 225,This is a adventure activity in destination 57,57,Adventure,5.8,3.8,1.6,Summer only
226,Relaxation Activity 226,This is a relaxation activity in destination 57,57,Relaxation,5.0,5.0,2.6,Summer only
227,Nature Activity 227,This is a nature activity in destination 57,57,Nature,2.4,6.7,6.9,Year-round
228,Culinary Activity 228,This is a culinary activity in destination 57,57,Culinary,6.0,5.2,4.8,Year-round
229,Culinary Activity 229,This is a culinary activity in destination 58,58,Culinary,3.1,8.1,7.8,Seasonal
230,Nature Activity 230,This is a nature activity in destination 58,58,Nature,2.2,6.8,3.3,Summer only
231,Volunteer Activity 231,This is a volunteer activity in destination 58,58,Volunteer,3.3,9.0,9.3,Seasonal
232,Educational Activity 232,This is a educational activity in destination 58,58,Educational,5.6,5.4,3.2,Spring/Fall
233,Volunteer Activity 233,This is a volunteer activity in destination 58,58,Volunteer,1.5,7.8,2.7,Seasonal
234,Adventure Activity 234,This is a adventure activity in destination 58,58,Adventure,6.2,4.7,7.9,Seasonal
235,Relaxation Activity 235,This is a relaxation activity in destination 59,59,Relaxation,4.2,4.9,7.5,Seasonal
236,Cultural Activity 236,This is a cultural activity in destination 59,59,Cultural,5.1,8.2,3.0,Spring/Fall
237,Volunteer Activity 237,This is a volunteer activity in destination 59,59,Volunteer,1.7,6.5,6.8,Winter only
238,Adventure Activity 238,This is a adventure activity in destination 60,60,Adventure,7.4,7.2,6.7,Spring/Fall
239,Adventure Activity 239,This is a adventure activity in destination 60,60,Adventure,7.7,5.4,7.8,Summer only
240,Volunteer Activity 240,This is a volunteer activity in destination 60,60,Volunteer,2.0,8.1,3.8,Winter only
241,Culinary Activity 241,This is a culinary activity in destination 60,60,Culinary,6.6,8.6,8.3,Spring/Fall
242,Nature Activity 242,This is a nature activity in destination 61,61,Nature,4.5,6.2,6.8,Seasonal
243,Volunteer Activity 243,This is a volunteer activity in destination 61,61,Volunteer,1.2,6.9,4.0,Winter only
244,Relaxation Activity 244,This is a relaxation activity in destination 61,61,Relaxation,5.2,8.8,5.7,Year-round
245,Adventure Activity 245,This is a adventure activity in destination 61,61,Adventure,5.1,6.0,7.7,Winter only
246,Culinary Activity 246,This is a culinary activity in destination 62,62,Culinary,6.0,6.2,2.2,Spring/Fall
247,Educational Activity 247,This is a educational activity in destination 62,62,Educational,4.0,7.1,6.7,Seasonal
248,Relaxation Activity 248,This is a relaxation activity in destination 63,63,Relaxation,3.9,4.2,5.6,Spring/Fall
249,Nature Activity 249,This is a nature activity in destination 63,63,Nature,2.9,9.6,3.4,Winter only
250,Culinary Activity 250,This is a culinary activity in destination 63,63,Culinary,5.0,6.4,2.8,Winter only
251,Adventure Activity 251,This is a adventure activity in destination 63,63,Adventure,6.8,4.8,2.1,Seasonal
252,Cultural Activity 252,This is a cultural activity in destination 63,63,Cultural,4.2,5.6,3.5,Winter only
253,Cultural Activity 253,This is a cultural activity in destination 64,64,Cultural,6.5,7.7,3.8,Spring/Fall
254,Volunteer Activity 254,This is a volunteer activity in destination 64,64,Volunteer,4.0,9.3,2.7,Winter only
255,Educational Activity 255,This is a educational activity in destination 64,64,Educational,5.6,7.4,5.1,Spring/Fall
256,Nature Activity 256,This is a nature activity in destination 64,64,Nature,1.5,7.8,3.4,Winter only
257,Cultural Activity 257,This is a cultural activity in destination 65,65,Cultural,3.5,4.1,1.1,Winter only
258,Nature Activity 258,This is a nature activity in destination 65,65,Nature,3.4,8.3,9.3,Winter only
259,Culinary Activity 259,This is a culinary activity in destination 65,65,Culinary,4.4,7.9,9.7,Winter only
260,Adventure Activity 260,This is a adventure activity in destination 66,66,Adventure,5.3,6.6,4.6,Year-round
261,Cultural Activity 261,This is a cultural activity in destination 66,66,Cultural,4.2,4.3,2.4,Winter only
262,Adventure Activity 262,This is a adventure activity in destination 67,67,Adventure,5.1,6.0,2.5,Summer only
263,Adventure Activity 263,This is a adventure activity in destination 67,67,Adventure,4.5,5.8,3.3,Spring/Fall
264,Culinary Activity 264,This is a culinary activity in destination 68,68,Culinary,3.5,4.6,3.6,Summer only
265,Educational Activity 265,This is a educational activity in destination 68,68,Educational,4.0,8.5,1.9,Summer only
266,Nature Activity 266,This is a nature activity in destination 69,69,Nature,3.9,9.2,5.0,Summer only
267,Culinary Activity 267,This is a culinary activity in destination 69,69,Culinary,6.3,7.6,6.6,Year-round
268,Culinary Activity 268,This is a culinary activity in destination 69,69,Culinary,4.6,8.7,6.8,Winter only
269,Cultural Activity 269,This is a cultural activity in destination 69,69,Cultural,4.5,6.9,6.6,Spring/Fall
270,Cultural Activity 270,This is a cultural activity in destination 69,69,Cultural,5.7,5.9,6.3,Summer only
271,Volunteer Activity 271,This is a volunteer activity in destination 69,69,Volunteer,3.8,8.1,5.3,Summer only
272,Volunteer Activity 272,This is a volunteer activity in destination 70,70,Volunteer,1.0,8.6,8.5,Summer only
