user_id,age_group,interests,travel_history,sustainability_preference,budget_level,preferred_activities,travel_style
50,35-44,"Mountains,Adventure,Food,Beach","4,7,95,27,88,83,57,26,53",8.2,2,"Historical Sites,Cycling,Local Cuisine",Eco-conscious
51,45-54,"Beach,Adventure,Relaxation","36,22,38,88",6.9,3,"Cycling,Historical Sites",Luxury
52,65+,"Relaxation,History",76,4.1,4,"Cultural Tours,Historical Sites,Cycling,Museums",Cultural
53,18-24,"Adventure,Relaxation,Mountains,Culture","10,67,49,89,77,40,26,88",6.9,3,"Cycling,Wildlife Watching,Museums,Historical Sites,Volunteering",Luxury
54,18-24,"Photography,Culture","75,33,29,97,50,21,81,44,43,31",4.5,2,"Cycling,Historical Sites,Cultural Tours",Cultural
55,25-34,"Wildlife,Culture","38,91",6.8,3,"Cycling,Local Cuisine,Kayaking",Luxury
56,18-24,"Food,Culture,Mountains","90,42,82,92,83",7.1,2,"Local Cuisine,Kayaking",Luxury
57,65+,"Culture,Photography,History,Food","31,82,96",5.4,5,"Surfing,Local Cuisine,Kayaking",Cultural
58,45-54,"Food,Culture,Wildlife,Relaxation","88,5,18,7,95,100,24,21,29,87",5.6,4,"Museums,Swimming,Surfing,Volunteering",Solo
59,45-54,"Food,Adventure","10,41,8,38",5.1,5,"Wildlife Watching,Volunteering",Family
60,18-24,"Food,Culture,History","2,67,63,91,93,61,11,72",8.1,3,"Volunteering,Museums,Eco Tours,Hiking,Local Cuisine",Solo
61,35-44,"Photography,Wildlife,Relaxation,Mountains,Food","78,14,72,62",4.2,5,"Museums,Surfing,Local Cuisine",Family
62,18-24,"Photography,Nature,Beach,Food,Wildlife","38,82,13,78,23,43,92,79,15",3.7,1,"Museums,Kayaking",Adventure
63,18-24,"Photography,Relaxation,Wildlife,Culture,Adventure","2,26,97",6.2,3,"Volunteering,Local Cuisine,Swimming",Family
64,45-54,"History,Mountains,Relaxation,Food,Photography","53,5,10,35,92,68,95,72",7.9,2,"Museums,Local Cuisine",Solo
65,35-44,"Relaxation,Photography","81,93,31",4.6,5,"Cultural Tours,Cycling,Surfing,Swimming",Luxury
66,25-34,"Photography,Adventure,Relaxation,Culture,Food",87,8.7,1,"Historical Sites,Eco Tours,Swimming,Hiking,Surfing",Adventure
67,45-54,"Beach,Photography,Relaxation,Culture","53,30,10,76,22,66,20,80,47,39",6.1,3,"Eco Tours,Historical Sites",Luxury
68,35-44,"Beach,Relaxation","92,2,37,12,28",4.7,1,"Volunteering,Cultural Tours,Swimming,Surfing",Budget
69,35-44,"Nature,Beach,Photography","50,10,91",7.0,4,"Museums,Surfing,Local Cuisine",Eco-conscious
70,18-24,"Nature,Beach,Culture,Relaxation","78,9,66,24",8.7,2,"Museums,Local Cuisine",Eco-conscious
71,65+,"Mountains,Relaxation","70,71,26,35",4.2,3,"Local Cuisine,Surfing",Adventure
72,35-44,"Photography,Mountains","25,18,2,11",5.7,4,"Swimming,Wildlife Watching,Hiking,Volunteering",Cultural
73,65+,"Wildlife,History,Culture,Food","55,43,50,68,29,19,34,37,4,72",6.1,4,"Hiking,Kayaking",Solo
74,45-54,"Photography,Beach,Adventure","44,70,4,51,61",5.9,3,"Hiking,Cycling",Luxury
75,45-54,"Mountains,History,Relaxation,Culture","60,46,30,71,58,23,94,26,50,100",7.2,3,"Cultural Tours,Hiking,Wildlife Watching,Swimming",Cultural
76,65+,"History,Adventure,Photography,Culture","53,4,95,30,99,13,21",7.1,4,"Local Cuisine,Wildlife Watching",Eco-conscious
77,18-24,"Nature,Photography,Beach,Wildlife,Culture","45,75,40,85,71,10,89,31,100,62",4.5,2,"Historical Sites,Museums,Kayaking,Surfing",Solo
78,35-44,"History,Wildlife,Mountains,Food","41,36,44,3,68,27,51,55",7.6,5,"Kayaking,Museums,Eco Tours,Local Cuisine",Family
79,18-24,"Beach,Wildlife,Food,Relaxation","18,71,52,33,56,4,80,91",9.3,5,"Local Cuisine,Eco Tours,Historical Sites,Kayaking",Eco-conscious
80,45-54,"Adventure,Photography","63,41,23,87,18,53",6.3,5,"Volunteering,Historical Sites,Hiking,Kayaking,Museums",Solo
81,35-44,"Beach,Wildlife","82,76,14",8.0,5,"Swimming,Wildlife Watching,Cultural Tours",Luxury
82,35-44,"Beach,Food,Adventure","10,47,81",6.0,1,"Local Cuisine,Volunteering,Cycling,Surfing",Luxury
83,45-54,"Food,History,Wildlife","24,44,84,8,80,13,5",7.2,2,"Local Cuisine,Historical Sites,Cultural Tours",Cultural
84,18-24,"Photography,History,Adventure,Relaxation,Nature",61,5.8,1,"Museums,Historical Sites,Cycling,Hiking",Family
85,35-44,"History,Beach,Food","51,99,48,31",4.4,3,"Eco Tours,Local Cuisine,Swimming,Wildlife Watching,Historical Sites",Solo
86,55-64,"Mountains,Nature,Adventure","40,30,87,28,50",7.4,4,"Historical Sites,Volunteering,Eco Tours,Hiking",Adventure
87,18-24,"Nature,Adventure,Wildlife,Relaxation,Beach",32,7.0,1,"Cycling,Wildlife Watching,Kayaking,Swimming,Historical Sites",Solo
88,35-44,"Food,Wildlife,History","48,79,8,65,21,59",4.8,4,"Eco Tours,Museums,Cultural Tours,Volunteering,Cycling",Budget
89,55-64,"Mountains,Wildlife,Beach,Food",12,3.4,3,"Surfing,Volunteering,Wildlife Watching,Kayaking",Budget
90,18-24,"Beach,Wildlife,Culture,Photography,History","18,73,45,56",7.2,3,"Surfing,Historical Sites",Adventure
91,18-24,"Nature,Relaxation","32,80,33,21,68",9.0,3,"Swimming,Surfing",Eco-conscious
92,55-64,"History,Photography","58,38,81,87,65,44,30",6.7,3,"Eco Tours,Museums",Solo
93,18-24,"Wildlife,Photography,Beach,Relaxation,Food",78,7.5,4,"Hiking,Kayaking",Budget
94,35-44,"Mountains,Relaxation,Adventure,Food,Photography","93,78,75,50,76,82,60,35,77,48",4.1,5,"Swimming,Historical Sites",Adventure
95,55-64,"Adventure,Beach","30,58,87",8.7,4,"Cultural Tours,Surfing,Volunteering,Cycling,Local Cuisine",Adventure
96,35-44,"Culture,Beach,History,Nature,Adventure","10,19,24,81,40,58",5.2,5,"Cycling,Wildlife Watching,Hiking,Volunteering",Family
97,18-24,"Relaxation,Food","16,8,13,83,93,59,98,49,9,90",8.3,4,"Kayaking,Volunteering,Wildlife Watching,Surfing,Cycling",Eco-conscious
98,65+,"Nature,Photography,Adventure,Relaxation","5,80,89,78,30",7.8,2,"Historical Sites,Eco Tours,Surfing,Cycling",Eco-conscious
99,45-54,"Nature,Adventure","11,39,95,72,45,17,29,19,75",8.9,4,"Kayaking,Historical Sites",Budget
100,55-64,"Relaxation,Nature,Wildlife,History,Beach","15,39,93,86",5.8,2,"Local Cuisine,Wildlife Watching,Cycling,Eco Tours,Historical Sites",Cultural
101,55-64,"Adventure,Mountains","44,68,78,53,40,20",5.1,1,"Historical Sites,Surfing,Cycling",Family
102,45-54,"Wildlife,Relaxation","16,94,70",6.8,3,"Kayaking,Wildlife Watching,Surfing",Budget
103,65+,"Mountains,Wildlife,Culture,Adventure","16,22,49",7.9,3,"Cultural Tours,Swimming,Museums",Family
104,65+,"Photography,Culture","70,8,22",5.2,5,"Hiking,Local Cuisine,Kayaking",Adventure
105,55-64,"Adventure,Culture","95,32,40,54,96,72,91,30",5.5,5,"Kayaking,Volunteering",Family
106,18-24,"Wildlife,Photography,Beach","11,76,6,34,5,20",8.5,5,"Eco Tours,Museums,Volunteering,Hiking",Budget
107,45-54,"Nature,Wildlife,Food,Adventure","35,80,4",7.7,5,"Museums,Local Cuisine",Adventure
108,35-44,"Food,Nature,Culture,Mountains,Beach","64,30",8.8,4,"Cycling,Eco Tours,Hiking,Surfing,Volunteering",Eco-conscious
109,35-44,"History,Photography,Food","59,26,71,38,99,56,31,58,89",6.6,1,"Cycling,Cultural Tours",Budget
110,18-24,"Nature,Wildlife,History,Relaxation","29,93,49,63,55,28,9,95,78,76",7.1,3,"Surfing,Local Cuisine,Swimming",Budget
111,65+,"Food,Photography,Adventure,Relaxation","29,47",7.9,2,"Cultural Tours,Local Cuisine,Surfing",Cultural
112,55-64,"Photography,History,Food,Nature",,6.3,3,"Cycling,Cultural Tours,Surfing,Museums",Budget
113,25-34,"Adventure,Beach,Photography","90,77,81,85,47,15,25,11,75,59",8.7,1,"Cycling,Hiking,Swimming,Kayaking,Historical Sites",Eco-conscious
114,18-24,"History,Mountains,Adventure,Relaxation,Culture","85,9,24,87,41,4,56",3.0,1,"Wildlife Watching,Local Cuisine",Budget
115,25-34,"Wildlife,Nature","10,80,42,40,66",6.7,1,"Cycling,Swimming",Budget
116,18-24,"Photography,Adventure,Relaxation","25,80,29,59,82,56,95,91,13,47",7.9,1,"Wildlife Watching,Eco Tours",Eco-conscious
117,25-34,"Adventure,Beach,Nature","85,23,51,79,52,19,63,50,14",7.0,4,"Historical Sites,Local Cuisine,Kayaking",Solo
118,25-34,"Adventure,Beach,Nature,Photography","96,25,40,67,61,56",3.9,3,"Local Cuisine,Swimming",Solo
119,18-24,"Adventure,Culture,Food,Relaxation,Photography",11,6.6,1,"Hiking,Volunteering,Local Cuisine,Eco Tours,Historical Sites",Cultural
120,45-54,"Photography,Culture,Beach,Mountains","48,40,4,92,46,64,33,98,22",7.5,5,"Kayaking,Local Cuisine",Eco-conscious
121,18-24,"History,Beach,Mountains,Food,Adventure","50,83,70,20,88,78",4.7,2,"Wildlife Watching,Cultural Tours,Local Cuisine",Cultural
122,65+,"Adventure,History,Photography","64,25,63,58,97,85,6,29,51",7.4,5,"Kayaking,Swimming,Volunteering",Eco-conscious
123,35-44,"Culture,Beach,Mountains,Relaxation","73,77,29,49,62,36,8,27,54",7.0,4,"Cultural Tours,Cycling,Wildlife Watching,Swimming",Luxury
124,35-44,"Relaxation,Mountains","41,2,26,74,6,47,5",4.6,5,"Museums,Historical Sites,Wildlife Watching,Hiking,Kayaking",Family
125,65+,"Relaxation,Wildlife,Adventure,Food,History","84,62,97,59",7.7,4,"Eco Tours,Cycling",Luxury
126,55-64,"Adventure,Nature","96,70,47,95,65,90,1,71,59,52",5.4,2,"Wildlife Watching,Museums",Solo
127,55-64,"Relaxation,Beach,Mountains,Photography","70,23,26,30,46,35,98,13,9,48",4.2,3,"Surfing,Eco Tours,Museums",Luxury
128,45-54,"Wildlife,History,Beach","7,11,14,80,49,2,13,56",4.5,4,"Museums,Wildlife Watching,Cycling,Local Cuisine",Budget
129,35-44,"Relaxation,History","93,88,22,29,96,27,90,92,8,5",3.6,1,"Kayaking,Eco Tours,Local Cuisine",Solo
130,55-64,"Culture,Adventure","75,74,66,23,29",9.5,1,"Cultural Tours,Cycling,Museums",Eco-conscious
131,55-64,"Culture,Nature,History","38,14,70,23,45,76,95,60,22",4.2,3,"Museums,Eco Tours",Solo
132,25-34,"Wildlife,Culture,Relaxation,Beach,Food","1,43,5,95,55",4.5,5,"Cultural Tours,Museums,Historical Sites,Eco Tours,Local Cuisine",Cultural
133,45-54,"Photography,Wildlife,Mountains",,7.3,3,"Cultural Tours,Volunteering,Surfing,Local Cuisine",Luxury
134,25-34,"Relaxation,Wildlife",66,4.9,4,"Volunteering,Museums,Cultural Tours,Surfing,Hiking",Luxury
135,25-34,"Food,Beach","49,58,76,85,93,40,91,98,22,19",8.0,1,"Museums,Hiking,Eco Tours",Budget
136,25-34,"Adventure,Wildlife,Beach,Culture","55,26,9",8.0,4,"Historical Sites,Local Cuisine,Cycling,Surfing,Cultural Tours",Solo
137,18-24,"Wildlife,Mountains,Adventure","11,34,32,16,92,70,69,45",4.4,2,"Hiking,Swimming,Local Cuisine",Solo
138,25-34,"History,Food,Adventure,Culture","17,2,75,9,4,99,100,48",6.4,4,"Cultural Tours,Surfing,Kayaking,Volunteering,Historical Sites",Family
139,35-44,"Wildlife,Nature,Relaxation","6,26",7.8,2,"Kayaking,Volunteering,Local Cuisine",Cultural
140,65+,"Adventure,Food","82,70",9.3,4,"Surfing,Cycling",Eco-conscious
141,45-54,"Food,Mountains,Relaxation","26,58,95",6.5,1,"Hiking,Wildlife Watching,Local Cuisine,Surfing,Swimming",Solo
142,45-54,"Relaxation,Food",,5.2,1,"Historical Sites,Eco Tours,Hiking,Cultural Tours",Adventure
143,65+,"Nature,Food,Culture","40,36,62,91,39,11,33,20",7.5,3,"Cultural Tours,Hiking,Eco Tours,Local Cuisine,Swimming",Eco-conscious
144,45-54,"Adventure,Food,Beach","69,24,18,23,60,34,49",6.3,4,"Historical Sites,Kayaking,Volunteering,Museums",Budget
145,25-34,"Photography,Food,Relaxation","78,71,50,97,62,91,48,63",8.9,1,"Historical Sites,Local Cuisine",Eco-conscious
146,55-64,"Beach,Nature,Relaxation","2,73",3.1,5,"Kayaking,Hiking,Surfing",Cultural
147,45-54,"Adventure,Wildlife,Photography,Mountains","67,34,16,62,24,80",3.2,2,"Surfing,Swimming,Historical Sites,Cultural Tours,Hiking",Budget
148,65+,"Photography,Relaxation,Mountains,Wildlife,Beach","66,51,99,33,69,46,55,68,65",9.0,1,"Museums,Swimming,Volunteering",Eco-conscious
149,25-34,"Nature,Mountains,Relaxation,Adventure","17,68,94,86,15,12",7.4,5,"Eco Tours,Museums,Hiking,Swimming,Wildlife Watching",Solo
150,18-24,"Photography,Wildlife,History",,9.2,3,"Eco Tours,Cycling,Hiking,Historical Sites",Eco-conscious
151,65+,"Beach,History,Mountains,Photography","22,10,34,49,14,99",6.4,3,"Eco Tours,Museums,Historical Sites,Wildlife Watching",Family
152,45-54,"Culture,Wildlife,Food,Beach,Adventure","9,26,49,17,80,3",5.2,4,"Museums,Eco Tours,Cycling,Wildlife Watching",Solo
153,35-44,"History,Photography,Food,Mountains,Relaxation","63,69,87,44,14,27,17,28",6.8,5,"Hiking,Wildlife Watching,Swimming,Kayaking",Family
154,65+,"Relaxation,Beach,Mountains,History",51,7.1,2,"Surfing,Historical Sites,Museums",Family
155,55-64,"Photography,Nature","47,16,35,53,66,13",7.5,4,"Cultural Tours,Museums",Eco-conscious
156,25-34,"Adventure,Culture,Mountains,Wildlife,Relaxation","93,28,94",3.8,3,"Historical Sites,Cycling,Local Cuisine",Budget
157,45-54,"Beach,Culture","77,28",5.5,5,"Cultural Tours,Local Cuisine,Wildlife Watching",Budget
158,35-44,"Photography,Adventure,Mountains,Beach,Nature","58,17,55,47,50,22,89",3.4,5,"Volunteering,Hiking,Eco Tours,Swimming,Kayaking",Adventure
159,35-44,"Relaxation,Wildlife,History","52,61,89,65,99,13,79,74",3.1,4,"Kayaking,Eco Tours",Cultural
160,45-54,"Beach,Relaxation,Culture,Adventure,Nature","96,79,72,100,77,89,32",6.5,4,"Local Cuisine,Surfing",Budget
161,45-54,"Adventure,History,Mountains,Beach,Photography","89,61,50",6.5,2,"Volunteering,Cultural Tours,Kayaking,Wildlife Watching,Local Cuisine",Solo
162,65+,"Mountains,Culture","94,76,96,8,83,69",5.5,2,"Cycling,Swimming,Museums",Luxury
163,55-64,"History,Culture",8,7.1,3,"Volunteering,Cycling",Adventure
164,65+,"Relaxation,Mountains,Nature,Beach,Culture","6,73,62,5,87,72,74,22,55,7",7.4,4,"Cultural Tours,Museums,Volunteering,Eco Tours,Swimming",Luxury
165,65+,"Mountains,Culture","45,39,16,69,11,82,100,87,51",3.8,3,"Eco Tours,Cycling",Solo
166,25-34,"Beach,History","31,77",6.9,4,"Hiking,Swimming,Museums,Cultural Tours,Historical Sites",Adventure
167,55-64,"Photography,Food,Adventure","6,14,74,24",4.8,1,"Volunteering,Hiking,Historical Sites",Family
168,55-64,"Beach,Mountains","78,59,38,88,9,80,21,62",3.8,2,"Cultural Tours,Museums",Cultural
169,55-64,"Food,Nature,Wildlife,Mountains,Photography","38,5,98,74,53,57",3.4,2,"Museums,Cycling",Adventure
170,18-24,"Food,Adventure","23,100,60,36,54,38",7.4,1,"Wildlife Watching,Kayaking,Historical Sites,Cycling",Eco-conscious
171,25-34,"Photography,Food,Wildlife","18,56,65,19,15,71,16",9.6,3,"Surfing,Historical Sites,Kayaking",Eco-conscious
172,35-44,"Food,Nature,Beach,Relaxation","1,92,70,84,97,20",7.3,5,"Wildlife Watching,Cycling",Luxury
173,65+,"Food,Photography,Beach,Adventure","100,53,6",7.6,3,"Cultural Tours,Surfing,Kayaking,Historical Sites,Hiking",Adventure
174,25-34,"Culture,Nature,Wildlife",65,6.4,4,"Volunteering,Swimming,Cultural Tours",Luxury
175,55-64,"Photography,Wildlife,Culture,History,Adventure","99,23",4.2,1,"Museums,Swimming,Historical Sites",Budget
176,18-24,"Adventure,Beach,History,Food,Culture","66,16,78,73",4.4,3,"Swimming,Wildlife Watching",Cultural
177,18-24,"Wildlife,Nature","13,16,29,15,91,12,94,74,1",7.9,4,"Historical Sites,Local Cuisine,Cultural Tours,Kayaking,Eco Tours",Luxury
178,25-34,"History,Culture,Nature,Mountains,Adventure","71,46,97,19,86",9.0,2,"Eco Tours,Local Cuisine,Cultural Tours",Cultural
179,18-24,"Beach,Food,History,Photography","94,58,11",3.4,1,"Kayaking,Hiking",Cultural
180,35-44,"Relaxation,History,Food,Beach,Adventure",31,3.3,2,"Eco Tours,Cultural Tours,Historical Sites,Local Cuisine,Hiking",Solo
181,35-44,"Adventure,Photography",25,3.9,4,"Eco Tours,Cultural Tours",Solo
182,18-24,"History,Wildlife,Photography,Relaxation",,4.0,4,"Historical Sites,Local Cuisine,Swimming",Cultural
183,25-34,"Relaxation,History,Nature,Mountains","96,64,15,92,28,24,58",8.6,5,"Cycling,Cultural Tours,Volunteering,Kayaking",Budget
184,35-44,"History,Beach,Nature,Food,Wildlife","22,4,83,81,16,46",7.8,3,"Museums,Local Cuisine,Historical Sites,Cultural Tours,Swimming",Family
185,35-44,"History,Relaxation,Photography","100,34,21,71,78,47,1,73",7.9,2,"Volunteering,Cultural Tours",Cultural
186,18-24,"Relaxation,Photography,Wildlife","48,100,55,39,76,11",5.5,3,"Eco Tours,Swimming,Kayaking,Wildlife Watching",Family
187,25-34,"Mountains,Culture,Relaxation","94,35,95,32,68,60,44,50",7.0,4,"Cycling,Surfing,Historical Sites",Adventure
188,35-44,"Mountains,Relaxation","59,41,94,79,32,10",7.6,4,"Surfing,Hiking",Eco-conscious
189,65+,"History,Culture,Beach","73,79",8.3,2,"Historical Sites,Cycling,Eco Tours,Volunteering,Museums",Eco-conscious
190,55-64,"History,Food,Photography,Nature","84,54,60",7.0,3,"Kayaking,Wildlife Watching,Historical Sites,Local Cuisine",Solo
191,65+,"Photography,Beach","94,89,90,25,87,20,57,39",7.0,4,"Historical Sites,Kayaking,Museums,Wildlife Watching",Cultural
192,65+,"Adventure,Mountains","84,89,9",7.5,5,"Wildlife Watching,Local Cuisine,Cycling,Volunteering",Solo
193,45-54,"Beach,Nature,History,Photography,Culture","95,81,61,91,52,23",3.1,5,"Hiking,Historical Sites,Swimming,Museums,Local Cuisine",Solo
194,65+,"Photography,Food,Wildlife,Mountains,Relaxation","24,10,26,49,25,12,61",5.5,3,"Local Cuisine,Kayaking,Museums,Hiking,Wildlife Watching",Luxury
195,45-54,"Nature,Adventure,Mountains,Photography","15,2,39,89,58,21,83",5.1,5,"Surfing,Cycling,Kayaking",Cultural
196,18-24,"Nature,Relaxation","65,10,62",3.2,5,"Museums,Historical Sites",Budget
197,55-64,"History,Culture,Mountains,Photography,Wildlife","84,52,83",7.8,3,"Museums,Surfing,Wildlife Watching",Solo
198,25-34,"Relaxation,Mountains",82,4.4,4,"Local Cuisine,Eco Tours,Museums,Cultural Tours,Volunteering",Luxury
199,55-64,"Photography,Mountains","7,80,49,35,82,34,32,11,70",4.4,1,"Local Cuisine,Swimming,Cultural Tours",Luxury
200,45-54,"History,Adventure,Wildlife,Beach,Nature","29,27,46,37,84,25",9.8,3,"Museums,Surfing,Wildlife Watching,Kayaking",Eco-conscious
201,25-34,"Beach,Mountains,Wildlife,Nature","54,41,11,67",4.3,5,"Swimming,Cycling,Museums",Cultural
202,25-34,"Relaxation,Wildlife","92,63,38,74,15,84,82,59,95,90",3.9,5,"Surfing,Wildlife Watching,Cycling,Cultural Tours,Swimming",Budget
203,45-54,"Photography,History,Beach,Food,Relaxation","72,39,1,70",5.6,4,"Kayaking,Local Cuisine",Cultural
204,55-64,"Wildlife,Food,History,Beach,Photography","15,59,63",6.9,2,"Museums,Local Cuisine",Luxury
205,65+,"Culture,History,Photography,Relaxation","47,34",8.8,4,"Kayaking,Local Cuisine,Volunteering,Surfing",Solo
206,25-34,"Relaxation,Wildlife,Food","86,79,3,63,21,8",6.4,3,"Wildlife Watching,Local Cuisine",Family
207,35-44,"Mountains,Adventure,Culture,Beach",28,8.6,3,"Historical Sites,Museums,Local Cuisine,Kayaking,Cultural Tours",Eco-conscious
208,18-24,"Wildlife,Relaxation,Food,Nature,Adventure","42,83,67,86",7.5,1,"Volunteering,Kayaking",Adventure
209,55-64,"Culture,Relaxation,Nature",,6.4,5,"Historical Sites,Museums,Wildlife Watching",Cultural
